user_id,train_count
46603,0
2445999,0
468949,0
2066797,0
2207909,0
1042795,1
1722434,0
1395344,0
2182976,1
561206,0
828433,2
2141614,1
1378701,0
2426625,0
2613898,0
823601,0
733839,0
441442,0
1588715,0
1980785,0
1058843,0
2557067,0
294703,0
2266782,0
285881,2
1346968,0
1485813,0
298392,0
1849135,0
1662860,0
752899,0
2385140,0
804476,0
658081,1
787218,0
599704,0
1589602,0
951038,0
1666097,0
959960,1
28874,0
2132919,1
1017746,0
2038847,0
2148323,1
1807760,1
180899,0
614122,0
2065703,0
900689,0
253535,0
2639731,0
2140559,0
2368266,0
1259166,0
1397510,0
747409,0
4258,0
467681,0
2208459,0
605619,0
22420,1
1908691,0
1156933,2
76343,0
1096031,0
1990743,1
1557419,0
2604938,0
1019933,0
225126,0
2192343,0
862011,0
2787,1
2496806,1
725657,0
36478,0
720211,1
1501835,0
2569437,0
1307967,0
2518242,0
1126017,0
10496,0
750140,0
1797882,0
2130756,3
1412075,1
185036,0
1276914,0
2057882,0
1602155,0
2356071,0
1081252,0
1961327,2
2292203,0
803291,0
2258445,0
1214857,0
1878346,0
2286731,0
1005664,0
2456420,0
2424335,1
2295951,0
363189,0
2554373,0
2007593,0
1014014,0
2188847,0
246874,0
959683,0
1446018,0
1480420,0
1250786,0
602722,0
845719,0
1511076,3
1840783,4
826730,0
1061876,0
2086204,1
1901854,0
1739943,0
967206,0
1099090,0
1632480,0
1664010,0
2543844,2
370733,0
8485,0
81091,0
1341100,0
2072704,0
1479583,0
1356107,3
2495150,0
2406704,0
2348376,0
614125,1
1413768,0
250059,0
106553,0
1935614,0
1334053,1
1899321,0
319526,0
754805,0
1017134,0
137579,0
1552502,0
2265525,1
315398,1
2426691,0
671440,0
2341916,1
2325071,0
222629,1
820357,1
1610877,1
837071,0
1457500,0
1258602,1
473597,0
582105,0
2107438,0
1857464,0
1811506,1
559883,0
1036172,0
2266151,0
917363,0
297578,0
1440305,0
479554,0
1412683,1
1990047,1
2374143,0
2422943,4
1642905,0
1333220,0
1816884,4
564169,0
1322185,0
990383,0
1520164,0
364974,0
686535,0
866411,0
2479241,2
2461000,0
491817,0
1821431,0
2299830,0
1708668,0
832959,4
1784911,1
787428,3
2601251,1
806483,1
1052040,0
2376301,3
2059227,0
1549970,0
20187,0
1639815,1
522673,0
1763632,1
1020195,2
2481859,1
1173686,0
2000555,0
1901351,1
1568541,0
2057611,1
1608916,0
1464289,0
1141463,1
2514731,0
2524354,0
1226253,0
1688414,0
2316662,0
2524027,0
2321868,2
218049,1
41386,0
2572361,0
1626242,0
1607102,0
1828523,0
823540,2
375818,0
929493,0
1234115,3
608267,0
889976,0
2489269,1
1497422,0
1417677,1
1862901,0
2522183,0
1444251,0
2396561,0
1094694,0
1662598,0
510368,0
305513,2
2343183,0
618943,0
509532,1
275443,0
1786090,0
365855,0
2116875,0
1415718,1
248547,1
1420817,0
161017,0
1317760,0
1047355,0
1333516,0
2412833,0
751955,0
557847,0
1508017,0
465247,1
369151,0
2422049,2
2481299,1
684590,0
2111373,0
496106,0
1458172,0
2177030,0
2171700,0
116139,1
2571494,2
2241297,1
1745308,0
381520,1
597829,1
562320,0
1786072,0
1564033,0
1809046,4
1967668,0
969035,0
241219,0
1554310,1
2555857,1
116487,2
2567279,0
1368876,0
2535230,0
2067027,2
2391141,0
88106,0
1590112,0
1402044,2
938911,0
1828296,0
1282543,0
1742993,0
506931,0
2121284,0
589499,0
427091,0
1897778,0
422952,1
1042772,1
1817599,1
1680214,0
1162175,0
114080,0
1803940,1
2289355,0
247909,0
724674,0
1224025,0
541796,1
863081,1
1958511,0
1796465,1
2119149,0
1126097,0
2408168,0
918206,3
1888278,1
494779,2
1485793,2
896346,0
928897,0
1322924,1
2197418,0
1977930,0
880006,0
1454789,2
722355,0
1931952,2
1666419,1
926292,0
239442,0
642090,4
1013527,1
1898204,0
562206,0
1517379,0
328125,0
2479407,0
2391243,0
1932061,0
158989,0
586540,0
964495,0
1421783,0
1607163,2
2477048,0
426285,0
592613,1
1404565,0
2377590,0
2045868,0
1607020,0
750846,0
858345,0
1727964,0
141483,0
141391,1
679205,0
217732,0
748967,0
2126168,4
1057084,0
207675,1
1504635,0
860349,0
1801454,1
756020,0
2241395,0
1395584,4
1328001,0
1772555,0
1386707,0
137163,0
202957,0
1952145,0
588080,2
1651058,0
141543,0
1108666,0
1964181,0
2538817,0
2438449,2
452974,1
1488844,3
862857,0
1135374,0
955896,0
2377457,3
2192605,0
666743,1
2008936,0
2063073,0
2123166,0
2110208,0
2286380,3
218645,0
451702,1
465044,0
2453861,2
1041833,0
2644135,0
2220366,0
942289,0
322064,0
1629621,0
2070186,2
1304752,0
2430041,4
1979659,0
1666084,2
2116940,0
390371,0
2215353,0
606249,3
1516380,1
661571,0
1557206,1
1266882,0
1033488,0
798248,0
1916089,0
2000784,0
2165695,0
2622195,4
870253,0
907021,0
1707709,0
1806580,1
686685,1
2283803,0
548180,2
228323,0
138689,0
686457,0
2152504,0
988963,0
782975,1
2574295,1
1587549,0
2135487,0
1328371,0
2605611,0
1866518,0
1182669,0
566383,0
1916185,0
1807431,0
831828,0
788569,0
704041,0
515543,0
2587714,0
1106256,0
810507,0
546619,0
896608,3
1621713,2
2073607,0
2525092,0
310204,4
792801,0
1699740,0
2123462,0
2098933,0
