user_id,rank,movie_id,title,year,predicted_score
6455,1,13501,Rocky IV,1985,3.5898497104644775
6455,2,15575,Royal Wedding,1951,3.5898497104644775
6455,3,747,Saber Marionette J,1996,3.5898497104644775
6455,4,7798,Deep Evil,2004,3.5898497104644775
6455,5,3165,Dirty Rotten Scoundrels,1988,3.5898497104644775
6455,6,5793,Underworld,2003,3.5898497104644775
6455,7,17147,She's the One,1996,3.5898497104644775
6455,8,8846,Election,1999,3.5898497104644775
6455,9,17152,Next Friday,2000,3.5898497104644775
6455,10,16969,Donnie Darko,2001,3.5898497104644775
30496,1,13501,Rocky IV,1985,3.5898497104644775
30496,2,15575,Royal Wedding,1951,3.5898497104644775
30496,3,747,Saber Marionette J,1996,3.5898497104644775
30496,4,7798,Deep Evil,2004,3.5898497104644775
30496,5,3165,Dirty Rotten Scoundrels,1988,3.5898497104644775
30496,6,5793,Underworld,2003,3.5898497104644775
30496,7,17147,She's the One,1996,3.5898497104644775
30496,8,8846,Election,1999,3.5898497104644775
30496,9,17152,Next Friday,2000,3.5898497104644775
30496,10,16969,Donnie Darko,2001,3.5898497104644775
35708,1,13501,Rocky IV,1985,3.5898497104644775
35708,2,15575,Royal Wedding,1951,3.5898497104644775
35708,3,747,Saber Marionette J,1996,3.5898497104644775
35708,4,7798,Deep Evil,2004,3.5898497104644775
35708,5,3165,Dirty Rotten Scoundrels,1988,3.5898497104644775
35708,6,5793,Underworld,2003,3.5898497104644775
35708,7,17147,She's the One,1996,3.5898497104644775
35708,8,8846,Election,1999,3.5898497104644775
35708,9,17152,Next Friday,2000,3.5898497104644775
35708,10,16969,Donnie Darko,2001,3.5898497104644775
38559,1,13501,Rocky IV,1985,3.5898497104644775
38559,2,15575,Royal Wedding,1951,3.5898497104644775
38559,3,747,Saber Marionette J,1996,3.5898497104644775
38559,4,7798,Deep Evil,2004,3.5898497104644775
38559,5,3165,Dirty Rotten Scoundrels,1988,3.5898497104644775
38559,6,5793,Underworld,2003,3.5898497104644775
38559,7,17147,She's the One,1996,3.5898497104644775
38559,8,8846,Election,1999,3.5898497104644775
38559,9,17152,Next Friday,2000,3.5898497104644775
38559,10,16969,Donnie Darko,2001,3.5898497104644775
46320,1,13501,Rocky IV,1985,3.5898497104644775
46320,2,15575,Royal Wedding,1951,3.5898497104644775
46320,3,747,Saber Marionette J,1996,3.5898497104644775
46320,4,7798,Deep Evil,2004,3.5898497104644775
46320,5,3165,Dirty Rotten Scoundrels,1988,3.5898497104644775
46320,6,5793,Underworld,2003,3.5898497104644775
46320,7,17147,She's the One,1996,3.5898497104644775
46320,8,8846,Election,1999,3.5898497104644775
46320,9,17152,Next Friday,2000,3.5898497104644775
